,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
21,12345051,-,-,-,['chloride (1)'],"['carbonate (4)', 'Carbonate (1)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (4)'],-,-,-,-,-,-,-,-,-,-,['Hydrogen (1)'],-
22,12594595,['sulfate (3)'],['sodium (3)'],-,-,-,-,-,-,"['Fe(III (7)', 'iron (2)']",-,-,-,-,-,-,-,-,-,['nitrate (4)'],['sulfide (2)'],-,-,-,-,-,['acetate (2)'],-,-,-,-,-,-,-
23,13438555,['sulfate (8)'],['sodium (4)'],-,['chloride (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['sulfide (2)', 'Sulfide (2)']","['methane (19)', 'METHANE (4)']",-,-,-,-,-,-,-,-,-,-,-,-
24,14369402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['ammonium (1)'],['nitrite (2)'],-,['sulfide (1)'],['methane (1)'],-,-,-,-,-,-,-,-,-,"['nitrogen (3)', 'N2 (1)']",['Hydrogen (1)'],-
25,14583627,['sulfate (15)'],-,-,['chloride (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['sulfide (8)', 'Sulfide (1)']",['methane (29)'],-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],['helium (1)']
26,14982203,"['sulfate (24)', 'Sulfate (1)']",['sodium (2)'],-,-,['carbonate (1)'],-,-,-,-,-,-,-,-,-,-,['phosphate (1)'],['ammonium (2)'],['nitrite (1)'],['nitrate (3)'],"['sulfide (27)', 'Sulfide (1)']",['methane (22)'],-,-,-,-,['acetate (1)'],-,-,-,-,-,['hydrogen (2)'],-
27,15514304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,16773456,['sulfate (11)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['ammonium (3)'],-,['nitrate (1)'],['sulfide (1)'],"['methane (27)', 'Methane (2)']",-,-,-,-,['acetate (4)'],['formate (1)'],-,-,-,['nitrogen (1)'],['hydrogen (1)'],['helium (1)']
29,16888850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['sulfide (8)', 'Sulfide (1)']",['methane (2)'],-,-,-,-,-,-,-,-,-,['nitrogen (3)'],"['hydrogen (1)', 'Hydrogen (1)']",-
30,17208459,-,-,-,-,-,-,-,-,['iron (1)'],-,-,-,-,-,['manganese (1)'],-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],-
31,18110353,-,['sodium (2)'],-,['chloride (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (37)', 'Methane (1)']",-,-,-,-,-,-,-,-,-,-,-,-
32,19286940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (3)'],-,-,-,-,-,['acetate (1)'],-,-,-,-,['nitrogen (1)'],-,-
33,19304315,"['sulfate (48)', 'Sulfate (4)']",-,-,"['chloride (22)', 'Chloride (2)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (4)'],"['Methane (7)', 'methane (45)']","['Ethane (2)', 'ethane (1)']",['propane (3)'],-,-,['acetate (2)'],-,-,['argon (1)'],-,['nitrogen (2)'],-,-
34,19394643,['sulfate (1)'],-,-,-,['carbonate (5)'],-,-,-,['iron (2)'],-,-,-,-,-,-,-,-,-,-,-,"['methane (161)', 'Methane (21)']",['ethane (1)'],['propane (1)'],['butane (1)'],-,['acetate (1)'],-,-,-,-,-,['hydrogen (2)'],"['he (2)', 'He (1)']"
35,19646536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (6)'],-,-,-,-,-,-,-,-,['CO2 (3)'],-,-,['He (1)']
36,20023799,"['sulfate (2)', 'Sulfate (1)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (4)'],"['Methane (1)', 'methane (49)']",-,-,-,-,-,-,-,"['argon (2)', 'Ar (12)']",-,"['nitrogen (16)', 'Nitrogen (1)']",-,-
37,21490211,"['sulfate (5)', 'Sulfate (1)']",['sodium (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (38)', 'Methane (1)']",-,-,-,-,['acetate (2)'],-,-,-,-,-,-,['He (2)']
