,s2orc_id,place,morphology,methane_type,metabolics,damo,type_mathanogenesis,anme
55,210195508,"['marine (2)', 'terrestrial (1)', 'Terrestrial (1)']",['cone (5)'],"['thermogenic (4)', 'biogenic (2)']","['methanogenesis (1)', 'AOM (10)']",-,-,-
56,210914727,-,['cone (1)'],-,-,-,-,-
57,214827724,['marine (9)'],-,-,"['AOM (2)', 'methanogenesis (1)']",-,-,"['ANME-1 (1)', 'ANME-2 (1)']"
58,214917229,"['Terrestrial (1)', 'terrestrial (8)', 'marine (4)']",-,-,"['AOM (42)', 'methanogenesis (9)']",-,['acetoclastic (2)'],"['ANME (7)', 'ANME-2 (4)', 'ANME-1 (2)']"
59,214924177,"['Marine (2)', 'marine (4)']",-,-,['AOM (1)'],-,-,-
60,215035312,['marine (1)'],-,"['biogenic (20)', 'thermogenic (19)']",['methanogenesis (5)'],-,-,-
61,215076876,-,-,"['biogenic (5)', 'thermogenic (4)']",-,-,-,-
62,215124414,"['marine (4)', 'Marine (2)']",-,-,-,-,-,-
63,215213250,['terrestrial (1)'],-,-,-,-,-,-
64,215265781,"['marine (9)', 'Marine (3)']",['cone (1)'],['thermogenic (3)'],"['AOM (4)', 'methanogenesis (1)', 'SRB (3)']",-,-,"['ANME (6)', 'ANME-1 (1)']"
65,215379686,['marine (1)'],-,-,-,-,-,-
