,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
37,14369402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,14583627,['sulfate (4)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (1)'],['methane (9)'],-,-,-,-,-,-,-,-,-,-,-,-
39,14676493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,-,-
40,14982203,['sulfate (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (1)'],['methane (4)'],-,-,-,-,-,-,-,-,-,-,-,-
41,15514304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (3)', 'Methane (1)']",-,-,-,-,-,-,-,-,['CO2 (1)'],-,-,-
42,16773456,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (2)'],-,-,-,-,-,-,-,-,-,-,-,-
43,16888850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (3)'],-,-,-,-,-,-,-,-,-,-,-,-,-
44,17208459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,18110353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (4)'],-,-,-,-,-,-,-,-,-,-,-,-
46,19286940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
